date,pm25,pm10,o3,no2,so2,co
2023-1-26,93,92,19,14,3,7
2023-1-27,106,83,18,16,6,3
2023-1-28,103,92,16,20,8,3
2023-1-29,95,93,16,17,5,4
2023-1-30,99,86,16,16,5,3
2023-1-31,84,62,17,17,4,3
2023-2-1,72,64,18,21,6,3
2023-2-2,72,71,18,23,6,6
2023-2-3,81,109,17,28,4,9
2023-2-4,113,100,21,27,4,7
2023-2-5,106,99,20,31,7,10
2023-2-6,94,121,22,24,8,9
2023-2-7,112,82,20,23,9,8
2023-2-8,83,104,22,31,5,11
2023-2-9,112,86,23,35,8,15
2023-2-10,93,82,22,29,10,12
2023-2-11,94,102,23,30,11,16
2023-2-12,97,97,22,32,11,18
2023-2-13,98,114,22,36,7,25
2023-2-14,109,133,20,44,11,36
2023-2-15,120,119,21,38,7,30
2023-2-16,121,119,22,35,7,32
2023-2-17,119,91,21,35,7,27
2023-2-18,114,91,20,39,12,28
2023-2-19,117,75,21,36,5,18
2023-2-20,104,77,24,36,9,16
2023-2-21,103,68,22,29,9,15
2023-2-22,88,74,21,32,7,19
2023-2-23,97,79,23,36,9,22
2023-2-24,107,86,24,42,7,23
2023-2-25,115,77,29,39,8,20
2023-2-26,105,69,20,35,5,20
2023-2-27,100,66,23,29,6,15
2023-2-28,93,95,20,41,6,25
2023-3-1,133,77,14,37,20,21
2023-3-2,127,74,19,40,13,20
2023-3-3,125,64,20,35,7,15
2023-3-4,108,39,20,22,6,8
2023-3-5,76,47,24,23,5,9
2023-3-6,85,25,23,20,6,10
2023-3-7,59,33,25,20,5,11
2023-3-8,71,21,25,19,4,9
2023-3-9,56,32,25,22,7,10
2023-3-10,70,57,26,24,6,12
2023-3-11,79,75,25,25,6,11
2023-3-12,83,109,25,33,5,19
2023-3-13,101,93,24,29,5,14
2023-3-14,95,86,22,24,6,11
2023-3-15,91,65,18,17,4,9
2023-3-16,76,72,22,19,8,10
2023-3-17,76,57,22,17,6,9
2023-3-18,66,48,16,18,5,9
2023-3-19,60,76,15,22,5,11
2023-3-20,94,82,23,21,5,10
2023-3-21,81,80,18,23,6,12
2023-3-22,93,71,19,21,8,9
2023-3-23,83,66,17,18,6,12
2023-3-24,79,73,22,16,7,8
2023-3-25,83,63,22,18,4,7
2023-3-26,63,85,25,23,4,9
2023-3-27,85,91,25,26,9,8
2023-3-28,95,95,18,30,7,7
2023-3-29,87,89,20,25,9,7
2023-3-30,82,70,17,19,6,5
2023-3-31,69,,,,,
2022-10-1,80,55,15,17,6,
2022-10-2,71,54,16,17,6,
2022-10-3,69,65,22,17,8,
2022-10-4,83,78,29,19,7,
2022-10-5,95,33,12,15,5,
2022-10-6,53,32,10,11,4,
2022-10-7,60,44,14,12,5,
2022-10-8,73,46,15,15,6,
2022-10-9,71,74,12,22,6,
2022-10-10,95,60,17,20,5,
2022-10-11,87,84,23,25,7,
2022-10-12,105,68,19,22,5,
2022-10-13,84,68,19,27,7,
2022-10-14,76,93,21,32,8,16
2022-10-15,101,81,22,30,6,7
2022-10-16,86,,,,,
2022-10-24,154,131,19,26,10,10
2022-10-25,180,100,19,27,9,6
2022-10-26,120,107,18,30,7,8
2022-10-27,124,115,15,36,8,10
2022-10-28,133,116,16,36,12,10
2022-10-29,120,97,15,35,10,9
2022-10-30,102,106,20,38,7,9
2022-10-31,136,121,16,39,6,13
2022-11-1,133,129,16,45,13,23
2022-11-2,131,133,16,44,8,24
2022-11-3,139,149,24,42,10,23
2022-11-4,134,188,13,42,10,22
2022-11-5,136,104,12,39,6,22
2022-11-6,110,107,15,38,7,15
2022-11-7,116,91,14,32,8,12
2022-11-8,108,93,17,34,8,9
2022-11-9,111,103,13,39,10,10
2022-11-10,113,108,12,34,8,10
2022-11-11,123,85,14,30,7,8
2022-11-12,107,85,12,33,5,8
2022-11-13,94,98,14,32,5,12
2022-11-14,115,111,12,45,6,16
2022-11-15,122,123,12,38,15,13
2022-11-16,124,85,10,30,7,8
2022-11-17,95,64,12,30,5,9
2022-11-18,77,77,12,36,5,9
2022-11-19,81,88,15,36,8,12
2022-11-20,91,98,42,36,8,9
2022-11-21,110,102,38,43,5,14
2022-11-22,109,102,,38,7,14
2022-11-23,110,80,13,37,7,10
2022-11-24,85,67,14,35,7,8
2022-11-25,71,74,16,41,5,9
2022-11-26,80,97,27,46,5,14
2022-11-27,102,96,15,49,5,13
2022-11-28,107,88,16,39,6,11
2022-11-29,99,83,22,35,7,8
2022-11-30,94,94,27,37,7,8
2022-12-1,107,94,33,39,7,8
2022-12-2,100,112,17,45,9,9
2022-12-3,118,118,35,41,9,9
2022-12-4,115,105,68,31,6,9
2022-12-5,111,105,17,29,7,7
2022-12-6,96,83,22,31,7,7
2022-12-7,78,67,16,33,4,8
2022-12-8,77,69,17,32,5,9
2022-12-9,70,85,41,32,8,8
2022-12-10,87,78,17,28,7,7
2022-12-11,79,76,19,24,10,7
2022-12-12,84,73,37,23,6,7
2022-12-13,76,56,19,23,6,5
2022-12-14,68,73,16,33,5,7
2022-12-15,84,85,16,27,7,7
2022-12-16,98,68,18,28,5,6
2022-12-17,76,67,18,29,6,5
2022-12-18,70,69,19,34,6,8
2022-12-19,80,71,21,33,5,9
2022-12-20,78,90,52,39,9,9
2022-12-21,96,97,17,41,9,10
2022-12-22,103,104,18,38,8,11
2022-12-23,121,92,17,30,12,9
2022-12-24,104,110,18,28,5,7
2022-12-25,109,105,17,26,4,10
2022-12-26,126,104,17,27,4,6
2022-12-27,123,80,15,32,5,6
2022-12-28,87,97,16,41,5,7
2022-12-29,105,122,18,44,7,8
2022-12-30,112,80,18,29,7,6
2022-12-31,96,100,15,30,4,5
2023-1-1,99,81,16,30,4,5
2022-7-1,79,45,11,14,5,4
2022-7-2,73,50,12,13,5,3
2022-7-3,75,60,18,17,5,6
2022-7-4,90,37,14,14,4,5
2022-7-5,69,45,20,11,5,4
2022-7-6,78,44,14,17,5,5
2022-7-7,69,40,16,15,4,5
2022-7-8,66,43,17,15,5,5
2022-7-9,63,40,14,14,3,3
2022-7-10,65,44,13,18,4,8
2022-7-11,77,37,13,17,5,4
2022-7-12,57,33,14,15,5,5
2022-7-13,56,34,18,16,4,5
2022-7-14,56,33,15,15,5,5
2022-7-15,55,46,15,15,5,4
2022-7-16,60,45,13,16,4,3
2022-7-17,57,36,11,14,6,5
2022-7-18,78,34,13,14,6,5
2022-7-19,66,48,13,17,5,5
2022-7-20,80,61,14,18,4,5
2022-7-21,95,62,14,17,4,5
2022-7-22,98,48,13,17,4,6
2022-7-23,84,31,12,14,6,4
2022-7-24,55,40,12,16,6,7
2022-7-25,65,46,13,14,4,7
2022-7-26,67,43,17,15,4,6
2022-7-27,75,54,15,19,6,7
2022-7-28,93,69,19,21,6,8
2022-7-29,115,71,19,17,6,6
2022-7-30,120,69,17,16,7,4
2022-7-31,110,73,16,14,6,7
2022-8-1,118,58,15,13,4,8
2022-8-2,101,65,20,14,3,10
2022-8-3,117,49,19,15,5,7
2022-8-4,87,57,23,21,4,12
2022-8-5,103,45,13,18,6,10
2022-8-6,81,41,13,15,6,8
2022-8-7,76,51,17,18,6,8
2022-8-8,93,40,14,15,4,6
2022-8-9,80,31,12,14,6,8
2022-8-10,68,31,11,10,6,3
2022-8-11,66,32,18,9,6,3
2022-8-12,55,46,19,11,5,4
2022-8-13,70,50,16,12,4,4
2022-8-14,78,38,14,11,4,4
2022-8-15,68,26,14,11,4,5
2022-8-16,61,39,18,9,5,4
2022-8-17,54,50,21,11,6,3
2022-8-18,66,54,21,14,5,5
2022-8-19,77,46,14,17,6,6
2022-8-20,75,60,14,15,5,3
2022-8-21,95,48,13,13,4,4
2022-8-22,87,51,16,12,5,4
2022-8-23,91,62,20,14,4,5
2022-8-24,98,75,18,13,7,5
2022-8-25,119,66,22,12,6,5
2022-8-26,101,72,21,14,6,6
2022-8-27,112,71,20,13,6,4
2022-8-28,100,75,20,19,6,9
2022-8-29,114,76,20,25,6,14
2022-8-30,123,79,19,25,6,11
2022-8-31,138,56,12,23,5,12
2022-9-1,99,64,18,30,6,13
2022-9-2,105,63,13,27,5,9
2022-9-3,101,63,12,19,6,4
2022-9-4,103,57,10,20,7,7
2022-9-5,92,69,15,28,6,12
2022-9-6,104,78,15,29,8,13
2022-9-7,114,56,15,21,5,9
2022-9-8,91,49,13,18,5,6
2022-9-9,84,53,12,21,6,8
2022-9-10,89,42,13,19,6,8
2022-9-11,77,41,10,19,6,9
2022-9-12,76,39,11,19,6,9
2022-9-13,79,38,11,14,5,6
2022-9-14,77,33,11,12,5,4
2022-9-15,71,51,11,11,5,7
2022-9-16,87,72,15,12,4,7
2022-9-17,104,72,17,13,4,6
2022-9-18,101,67,19,13,4,8
2022-9-19,96,55,17,12,5,7
2022-9-20,83,53,17,9,7,6
2022-9-21,79,58,13,8,5,4
2022-9-22,81,42,12,9,6,5
2022-9-23,76,59,15,13,7,5
2022-9-24,84,65,15,16,6,7
2022-9-25,90,76,17,21,7,9
2022-9-26,107,74,19,19,7,8
2022-9-27,100,69,15,18,14,6
2022-9-28,91,77,19,20,9,
2022-9-29,82,60,23,21,7,
2022-9-30,84,60,17,19,7,
2022-4-1,141,137,53,38,14,12
2022-4-2,156,102,47,32,7,7
2022-4-3,136,106,36,44,6,11
2022-4-4,127,108,42,50,8,16
2022-4-5,132,112,45,47,8,12
2022-4-6,142,110,47,45,12,15
2022-4-7,134,139,57,61,10,19
2022-4-8,157,123,45,54,11,14
2022-4-9,147,103,51,36,11,8
2022-4-10,143,103,49,31,10,6
2022-4-11,141,106,39,32,10,7
